date;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20;C_21;C_22;C_23;C_24;C_25;C_26;C_27;C_28;C_29;C_30;C_31;C_32;C_33;C_34;C_35;C_36;C_37;C_38;C_39;C_40;C_41;C_42;C_43;C_44;C_45;C_46;C_47;C_48;C_49;C_50;C_51;C_52;C_53;C_54;C_55;C_56;C_57;C_58;C_59;C_60;C_61;C_62;C_63
2008-01-31 ;4143.667;7035.12;4295.423;14133.199;7762.377;4167.407;93.057;5734.094;1021.155;1047.874;17049.973;2282.692;692.24;1403.371;7144.083;6282.203;1696.003;37892.56;1235.762;1161.481;733.953;334.505;1720.631;451.206;5075.247;521.457;629.987;8686.554;881.412;14841.33;10783.016;402.998;452.587;1886.434;456.92;1684.946;367.417;903.12;1536.504;687.961;8583.907;5570.646;230.224;19339.282;9298.461;358.42;446.161;1276.998;613.337;4486.439;6912.165;4878.891;1839.594;3724.771;2547.122;1748.642;7956.898;4997.59;1799.755;855.155;2289.231;1813.741;1831.444
2008-02-29 ;4540.141;7273.025;4433.371;14472.08;8699.021;4321.142;103.088;6089.879;1029.375;1160.217;18572.719;2509.787;683.74;1448.094;7262.348;6364.894;1620.796;37048.165;1234.695;1260.427;716.39;352.975;1717.069;454.895;5110.311;550.389;627.925;8740.599;963.968;15189.954;12319.568;395.684;504.634;2192.163;438.201;1744.538;359.197;998.629;1651.464;728.106;8928.703;5679.353;232.816;20688.726;9524.143;411.59;505.886;1289.716;631.175;4346.96;6940.989;5045.172;2060.242;3936.347;2622.265;1797.311;7892.48;5416.094;1873.441;998.802;2260.117;1835.373;1778.733
2008-03-31 ;4804.326;7320.035;4192.78;15211.042;8038.588;4655.68;90.535;5756.995;1050.975;1170.349;19326.519;2531.909;694.684;1364.803;7446.224;6434.797;1660.927;34785.644;1215.044;1108.3;625.571;332.246;1682.476;434.516;4906.177;526.788;576.127;9247.95;1040.113;15735.619;12235.088;372.1;509.445;2080.188;410.547;1881.634;358.403;913.266;1621.035;673.654;9086.191;5975.681;232.608;21157.866;9672.525;421.682;494.168;1030.275;585.271;4330.946;6791.795;4778.32;1913.041;3739.304;2681.656;1822.135;6980.969;5084.664;1926.436;1032.477;2234.476;1799.882;1751.716
2008-04-30 ;4915.038;8176.488;4547.442;16020.846;9273.703;4605.833;104.667;6165.443;1246.594;1158.787;19220.059;2671.52;704.668;1349.237;7786.487;6733.628;1736.541;37622.985;1283.872;1043.375;694.87;362.575;1787.728;444.879;5262.705;564.687;591.539;9084.733;1009.414;16433.753;13829.341;381.803;488.542;2186.773;370.855;1851.738;374.449;1126.73;1665.097;759.054;9673.853;6166.124;229.511;22225.771;9716.139;439.424;503.552;1201.306;644.034;4545.319;7231.357;5035.672;2190.355;3934.953;2765.045;1899.552;7572.934;5347.176;1938.686;1077.084;2279.259;1882.135;1849.576
2008-05-30 ;5696.358;8489.69;4659.077;15263.983;10339.649;4557.705;99.479;6635.27;1297.7;1287.309;20415.226;2495.719;674.883;1357.989;7992.585;6863.342;1745.092;37416.82;1348.328;1085.061;624.496;380.215;1802.506;470.752;5395.226;554.776;573.573;9671.572;1021.284;16520.328;14953.904;384.242;373.555;2179.661;370.06;1909.558;366.899;1184.904;1934.069;776.883;9741.232;6119.838;224.168;22751.22;9702.186;425.291;488.681;1163.773;643.415;4617.845;7188.592;5121.629;2428.024;4168.961;2819.014;1941.492;6764.023;5184.082;1963.345;1033.618;2244.428;1923.48;1908.277
2008-06-30 ;6503.074;7723.81;4372.448;12363.737;9519.635;4114.169;87.403;6398.735;1091.62;1314.401;19154.081;2272.249;573.101;1186.137;7205.555;6318.873;1445.748;33419.992;1255.738;1058.302;502.311;371.66;1611.154;510.065;5027.661;486.837;523.696;8829.691;1015.354;14398.111;13995.719;319.033;374.327;2130.363;308.823;1728.977;310.434;1176.369;1798.535;704.161;9007.626;5480.946;218.843;19247.039;9179.39;377.243;435.839;1018.812;620.185;4241.463;6738.117;4662.652;2205.561;4024.71;2498.529;1745.748;5316.813;4591.063;1792.061;881.074;2024.684;1791.366;1728.41
2008-07-31 ;5247.551;7003.342;4065.774;11325.225;8530.937;4362.502;89.417;5954.126;1170.862;1273.046;18633.627;2184.998;461.002;1201.954;7063.906;6252.646;1454.855;32928.147;1384.679;1058.416;536.051;344.49;1538.281;513.119;4856.324;479.002;516.85;8456.162;983.667;13825.538;12571.759;323.775;305.616;1783.215;334.273;1953.153;299.647;1146.376;1510.505;724.779;8951.004;5434.024;205.989;19082.823;9130.482;354.129;377.647;1306.983;608.467;4192.954;6461.851;4401.84;2168.567;3736.09;2435.531;1660.305;5748.996;4602.82;1731.506;830.934;1965.746;1736.356;1700.72
2008-08-29 ;4838.92;6590.274;3900.299;11294.42;7688.035;4119.285;82.1;5839.006;1136.939;1158.701;17805.463;1982.516;448.733;1135.301;6817.543;5870.701;1334.441;31169.212;1234.316;987.053;529.787;342.409;1471.711;492.611;4663.194;412.891;471.645;8098.71;926.525;14025.798;11922.657;305.425;246.948;1652.126;341.588;1691.225;278.127;1011.646;1289.935;690.588;8239.862;5055.807;195.241;18243.323;8864.276;350.787;383.802;1182.267;533.543;4250.383;6253.981;4249.039;1935.953;3699.712;2413.16;1588.084;5710.285;3936.69;1704.476;819.661;1941.626;1674.896;1733.175
2008-09-30 ;3644.472;4545.754;3225.887;8431.308;5914.697;3690.582;65.361;5010.726;999.795;978.292;14113.446;1648.496;331.863;862.654;5844.851;5019.716;1136.465;25757.458;1015.603;781.357;432.341;314.741;1255.911;442.779;4142.88;368.95;430.127;7176.321;794.607;11381.288;8310.837;266.37;239.103;1399.556;320.073;1462.535;252.812;912.363;984.575;587.777;7009.434;4550.156;163.009;14860.843;7966.719;284.464;337.882;1012.172;443.554;3860.514;5325.425;3581.214;1388.431;3103.549;2047.021;1266.987;4619.523;3517.965;1496.761;621.462;1642.481;1504.751;1535.275
2008-10-31 ;2125.521;2861.962;2402.97;5349.21;4019.228;2745.236;50.496;3660.681;718.218;690.237;10490.197;1113.643;253.241;710.02;4534.77;3866.747;719.347;20277.57;575.348;472.905;309.231;258.748;959.509;359.615;3530.486;272.572;354.986;4974.957;710.454;8523.301;5538.325;206.605;229.851;895.109;242.2;967.463;186.45;670.733;637.26;433.883;4977.215;3400.401;123.855;10899.603;6989.456;231.497;226.351;665.258;295.573;3200.304;4315.692;2488.707;995.894;2296.98;1523.844;920.391;3174.855;2378.074;1182.496;499.808;1247.307;1272.379;1204.398
