date;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20;C_21;C_22;C_23;C_24;C_25;C_26;C_27;C_28;C_29;C_30;C_31;C_32;C_33;C_34;C_35;C_36;C_37;C_38;C_39;C_40;C_41;C_42;C_43;C_44;C_45;C_46;C_47;C_48;C_49;C_50;C_51;C_52;C_53;C_54;C_55;C_56;C_57;C_58;C_59;C_60;C_61;C_62;C_63
31-1-1991;360.04;1839.69;492.16;2213.15;154.58;368.32;NA;754.54;NA;NA;2128.88;NA;143.92;70.81;1208.67;1161.82;354.28;3978.90;NA;629.57;NA;NA;358.04;60.24;4058.46;131.98;185.59;517.05;NA;1984.68;1735.40;67.82;NA;NA;143.01;NA;74.20;NA;NA;NA;1991.09;604.00;NA;2376.34;1049.36;162.01;253.43;320.03;NA;782.39;1482.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28-2-1991;404.11;2131.44;528.95;2457.04;189.08;432.14;NA;805.34;NA;NA;2345.47;NA;170.00;78.10;1324.37;1243.76;486.64;4381.54;NA;659.49;NA;NA;411.90;61.69;4570.80;140.05;206.33;545.47;NA;2137.49;1894.34;73.64;NA;NA;174.54;NA;86.43;NA;NA;NA;2253.87;680.54;NA;2564.18;1121.30;204.05;295.09;372.47;NA;836.52;1602.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29-3-1991;614.29;1919.19;537.62;2293.56;169.33;454.06;NA;804.37;NA;NA;2134.95;NA;159.21;84.45;1228.05;1077.50;411.89;4652.35;NA;678.94;NA;NA;373.27;67.92;4287.11;133.09;212.54;692.50;NA;2047.23;1777.60;69.04;NA;NA;187.32;NA;77.34;NA;NA;NA;2269.72;667.06;NA;2466.20;1067.63;211.83;324.55;297.29;NA;856.96;1518.40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30-4-1991;629.57;1947.33;580.90;2225.95;176.47;458.10;NA;813.62;NA;NA;2062.57;NA;153.88;79.88;1194.99;1115.35;373.73;4531.18;NA;682.00;NA;NA;364.49;69.11;4394.38;132.81;208.05;784.24;NA;2097.46;1664.88;75.27;NA;NA;199.56;NA;74.41;NA;NA;NA;2301.21;635.58;NA;2320.02;1071.18;248.63;324.68;225.72;NA;860.37;1498.68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31-5-1991;643.08;1911.57;564.44;2222.88;258.68;481.75;NA;843.26;NA;NA;2143.92;NA;152.61;77.76;1241.01;1187.80;325.43;4728.07;NA;651.63;NA;NA;385.56;68.90;4374.72;126.74;214.41;913.38;NA;2129.09;1824.99;78.32;NA;NA;221.33;NA;71.09;NA;NA;NA;2331.42;668.49;NA;2504.13;1115.49;238.05;293.93;215.59;NA;896.18;1508.90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28-6-1991;589.99;1706.04;572.02;2100.66;252.15;539.50;NA;823.10;NA;NA;2123.95;NA;140.89;67.87;1122.75;1077.38;288.63;4714.12;NA;555.24;NA;NA;351.59;69.43;4060.41;125.15;206.65;864.89;NA;2000.42;1635.49;74.53;NA;NA;206.43;NA;66.48;NA;NA;NA;2257.81;605.23;NA;2427.96;1010.32;249.41;277.91;208.71;NA;855.17;1381.72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31-7-1991;617.27;1695.97;608.31;2148.79;277.66;620.38;NA;836.81;NA;NA;2273.70;NA;157.16;73.34;1171.56;1113.84;298.64;5159.78;NA;537.74;NA;NA;355.25;68.13;4186.46;156.94;202.64;983.44;NA;2125.10;1732.74;75.71;NA;NA;201.87;NA;69.76;NA;NA;NA;2269.80;612.86;NA;2531.59;1072.47;217.57;270.25;171.22;NA;895.26;1543.37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30-8-1991;1206.84;1694.69;604.61;2147.59;262.70;665.02;NA;847.04;NA;NA;2275.11;NA;156.72;69.90;1244.44;1128.48;317.80;5167.26;NA;456.31;NA;NA;345.00;67.10;3955.75;144.81;186.03;1037.03;NA;2114.77;1792.14;71.20;NA;NA;209.43;NA;69.62;NA;NA;NA;2182.73;633.29;NA;2500.44;1072.33;194.59;267.06;171.09;NA;917.01;1583.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30-9-1991;1383.24;1752.27;627.88;2183.59;224.11;732.30;NA;825.52;NA;NA;2352.27;NA;162.47;64.38;1319.00;1153.52;270.75;5098.12;NA;345.69;NA;NA;345.90;66.76;4301.77;149.54;178.49;1015.93;NA;2164.81;1752.43;72.36;NA;NA;184.99;NA;69.52;NA;NA;NA;2144.15;672.63;NA;2428.78;1084.67;212.43;253.91;145.69;NA;901.50;1643.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31-10-1991;1719.66;1516.41;660.76;2228.06;231.19;684.33;NA;862.67;NA;NA;2332.04;NA;158.33;63.32;1298.81;1127.40;278.28;5179.45;NA;329.33;NA;NA;332.03;67.99;4488.18;142.97;184.31;1132.74;NA;2191.34;1620.91;78.04;NA;NA;205.34;NA;65.15;NA;NA;NA;2202.31;654.39;NA;2372.11;1083.29;196.08;243.99;131.74;NA;917.09;1601.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29-11-1991;1405.38;1656.15;628.02;2256.73;190.91;648.03;NA;841.68;NA;NA;2286.05;NA;151.60;59.96;1266.29;1145.83;281.86;5330.67;NA;381.26;NA;NA;349.42;68.47;4171.76;131.16;186.13;1155.37;NA;2203.53;1369.02;78.99;NA;NA;223.91;NA;62.07;NA;NA;NA;2258.52;617.91;NA;2252.44;1072.93;198.69;258.88;190.61;NA;880.07;1526.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31-12-1991;1740.84;1685.53;629.96;2512.79;294.87;651.47;NA;844.95;NA;NA;2422.65;NA;164.96;59.12;1378.44;1230.09;293.15;5527.50;NA;384.42;NA;NA;364.92;73.79;4304.27;122.73;196.74;1196.30;NA;2368.97;1562.65;76.23;NA;NA;238.21;NA;67.59;NA;NA;NA;2396.67;660.21;NA;2368.88;1159.49;205.08;281.75;203.32;NA;980.63;1656.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
